As,Argmax_Model_Trees,Argmax_True_Trees,Argmax_Model_Mask,Argmax_True_Mask,Argmax_Model_Accuracy,Argmax_True_Accuracy,Random_Model_Trees,Random_True_Trees,Random_Model_Mask,Random_True_Mask,Random_Model_Accuracy,Random_True_Accuracy,Upwards_Model_Trees,Upwards_True_Trees,Upwards_Model_Mask,Upwards_True_Mask,Upwards_Model_Accuracy,Upwards_True_Accuracy,Upwards_Model_Uniques,Upwards_Model_Valids_Uniques,Upwards_Model_Valids,Upwards_True_Uniques,Upwards_True_Valids_Uniques,Upwards_True_Valids,altUpwards_Model_Trees,altUpwards_True_Trees,altUpwards_Model_Mask,altUpwards_True_Mask,altUpwards_Model_Accuracy,altUpwards_True_Accuracy,altUpwards_Model_Uniques,altUpwards_Model_Valids_Uniques,altUpwards_Model_Valids,altUpwards_True_Uniques,altUpwards_True_Valids_Uniques,altUpwards_True_Valids
"[0 0 1 1 0 0 1 0 1 0 1 1 0 1 1 1 1 0 0 0 0 0 0 0 1 1 1 0 1 0 0 1 1 1 0 1 0
 1 0 0 1 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 0 1 0 0 0 1 0 1 1 0 1 0 1
 0 1 0 1 0 1 1 0 0 0 0 1 0 1 1 0 0 1 1 0 0 1 0 1 0 0 0 1 0 1 1 0 1 1 0 1 1
 1 1 0 0 0 1 1 0 1 1]",[0 1 0 0 1 1 0 3 0 2 0],[0 5 0 0 3 9 2 3 7 8 7],False,True,0.25,0.46875,"[0, 6, 2, 10, 2, 3, 3, 2, 3, 2, 5]","[9, 10, 3, 7, 6, 2, 9, 9, 9, 4, 4]",False,False,0.0,0.0,[ 0.  1.  8.  4.  4.  1.  0.  6.  8. 10.  2.],[ 0.  5.  3.  2.  8.  9.  2.  4.  0. 10.  7.],False,False,0.0,0.1875,1.0,0.0,0.0,1.0,0.0,0.0,[ 0.  1.  3.  7.  4.  1.  0. 10.  4.  6.  0.],[ 0. 10.  1.  7.  3.  6. 10. 10.  9.  2.  7.],False,False,0.03125,0.3125,1.0,0.0,0.0,1.0,0.0,0.0
"[0 0 1 1 1 1 1 0 0 1 1 1 1 1 0 0 1 0 0 1 1 0 0 1 1 1 0 0 0 1 0 0 0 0 1 0 1
 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 1 1 0 1 1 0 1 1 0 0
 1 1 1 0 1 0 0 1 0 0 1 1 0 1 1 1 1 1 1 0 1 1 1 0 1 0 0 1 1 1 0 0 0 0 1 0 0
 0 1 0 1 0 0 0 0 1 1]",[0 2 0 0 0 0 0 2 1 0 0],[0 3 9 0 9 6 3 5 7 0 5],True,True,0.25,0.46875,"[6, 5, 8, 10, 7, 2, 8, 10, 7, 9, 0]","[9, 5, 9, 9, 1, 6, 10, 9, 1, 9, 8]",False,False,0.0,0.0,[10.  1.  2.  5.  0.  6.  8.  7.  7.  3. 10.],[ 0.  2.  0.  6.  9.  3.  2.  5.  1. 10.  7.],False,False,0.0,0.1875,1.0,0.0,0.0,1.0,0.0,0.0,[8. 1. 1. 0. 9. 6. 0. 5. 1. 1. 0.],[0. 2. 0. 2. 5. 1. 3. 5. 7. 5. 7.],False,True,0.03125,0.3125,1.0,0.0,0.0,1.0,0.0,0.0
"[0 1 1 0 1 1 0 1 0 0 1 1 0 1 1 1 1 1 1 1 0 0 1 1 0 1 1 1 0 1 1 0 1 1 0 0 1
 1 1 1 1 1 0 0 0 0 0 1 0 1 0 1 0 1 1 0 1 1 0 0 0 1 0 1 1 1 1 1 1 0 1 1 0 1
 0 0 1 1 1 0 0 0 1 1 1 1 0 1 1 0 0 1 1 1 0 0 1 0 1 0 0 0 0 1 1 1 1 0 1 1 1
 0 1 1 0 0 0 1 1 0 1]",[1 0 0 1 0 0 1 0 1 4 0],[ 0  5  6  4  0  3  3 10  5  5  0],False,True,0.25,0.46875,"[8, 8, 2, 10, 9, 8, 5, 3, 1, 4, 2]","[6, 6, 1, 9, 8, 2, 8, 8, 6, 2, 4]",False,False,0.0,0.0,[0. 1. 0. 3. 4. 3. 9. 6. 1. 4. 2.],[ 0.  4.  1. 10.  0.  6.  3.  2.  5.  4.  7.],False,False,0.0,0.1875,1.0,0.0,0.0,1.0,0.0,0.0,[2. 6. 1. 4. 3. 5. 1. 6. 7. 9. 0.],[0. 7. 6. 4. 3. 7. 3. 1. 7. 4. 0.],False,False,0.03125,0.3125,1.0,0.0,0.0,1.0,0.0,0.0
"[1 0 1 0 0 0 0 1 0 1 1 1 1 1 0 0 1 1 0 1 1 0 1 0 0 1 0 1 1 1 0 1 1 0 1 0 1
 0 0 1 0 0 1 0 1 0 0 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 1 0 1 1 0 1 0 1 0 0 0 1
 1 0 0 1 1 1 1 0 1 0 1 1 0 1 0 1 0 0 1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 1 0 1 0
 1 0 1 1 1 1 1 0 1 0]",[0 1 0 2 4 2 2 0 1 0 0],[ 0  3  0  5  8 10  1  5  6  3  0],False,True,0.25,0.46875,"[8, 2, 10, 7, 10, 8, 10, 0, 2, 8, 8]","[1, 8, 5, 2, 9, 5, 6, 6, 3, 2, 7]",False,False,0.0,0.0,[7. 1. 2. 5. 8. 4. 6. 6. 1. 0. 2.],[ 0.  3.  9.  6. 10.  1.  2.  8.  1.  0.  7.],False,True,0.0,0.1875,1.0,0.0,0.0,1.0,0.0,0.0,[ 1.  8.  1.  2. 10.  1.  3.  2.  1.  3.  0.],[0. 9. 1. 6. 8. 4. 3. 0. 4. 0. 7.],False,False,0.03125,0.3125,1.0,0.0,0.0,1.0,0.0,0.0
"[1 1 1 0 1 0 0 1 1 0 0 1 0 0 1 0 1 1 1 0 0 1 0 1 0 1 0 0 0 1 1 1 1 1 1 1 1
 0 0 1 1 0 0 1 0 1 0 1 1 1 0 0 1 0 1 0 0 0 1 0 0 1 0 1 1 0 1 1 0 0 0 0 1 0
 1 0 0 1 0 1 0 1 0 0 1 1 1 1 0 1 1 1 0 1 1 1 1 1 0 0 0 1 0 1 0 1 0 1 0 1 1
 1 0 1 1 1 1 1 1 1 0]",[1 0 0 1 0 1 1 0 0 2 1],[0 6 0 2 0 1 1 1 0 5 4],False,False,0.25,0.46875,"[10, 6, 3, 6, 4, 2, 4, 2, 4, 8, 7]","[0, 3, 2, 0, 1, 9, 3, 8, 2, 4, 9]",False,False,0.0,0.0,[ 0.  0.  3.  3.  4.  5.  1.  7. 10.  5.  4.],[ 0.  3.  9.  2.  0.  8.  1. 10.  4.  5.  4.],False,True,0.0,0.1875,1.0,0.0,0.0,1.0,0.0,0.0,[ 0. 10.  3.  8.  7.  1.  3.  2.  9.  2.  7.],[ 0.  0.  7.  2.  0.  8.  1.  3.  7. 10.  4.],False,False,0.03125,0.3125,1.0,0.0,0.0,1.0,0.0,0.0
"[1 0 0 1 0 1 0 1 0 0 1 1 1 1 0 0 0 0 1 1 1 1 1 0 0 1 0 1 1 0 0 0 0 1 0 0 1
 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 1 0 1 1 0 0 1 0 0 1 1 1 1 1 1 0 1 0 0 0
 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 0 1 0 0 1 0 0 0
 0 0 1 1 0 0 1 1 0 1]",[0 1 1 0 3 0 2 0 1 1 0],[0 9 1 2 3 2 2 0 7 8 5],False,True,0.25,0.46875,"[4, 5, 3, 0, 7, 9, 10, 6, 2, 8, 9]","[4, 3, 4, 8, 6, 3, 1, 8, 2, 2, 8]",False,False,0.0,0.0,[1. 9. 8. 2. 3. 6. 6. 4. 5. 7. 0.],[ 0.  7.  1.  9. 10.  7.  8.  4.  5.  6.  0.],False,True,0.0,0.1875,1.0,0.0,0.0,1.0,0.0,0.0,[0. 1. 6. 2. 3. 8. 2. 0. 7. 5. 0.],[0. 9. 1. 2. 3. 2. 8. 8. 7. 7. 5.],False,False,0.03125,0.3125,1.0,0.0,0.0,1.0,0.0,0.0
"[0 1 1 1 0 1 1 0 0 1 0 0 0 0 0 1 0 0 1 1 1 1 1 1 1 0 1 0 1 0 1 0 1 1 1 1 1
 0 1 1 1 1 0 0 1 1 1 0 0 0 1 0 1 1 0 0 0 1 0 1 0 1 1 0 0 0 1 1 0 0 1 1 0 1
 0 1 0 1 0 0 0 1 1 0 0 1 0 0 0 0 1 1 1 1 0 1 1 0 1 1 1 0 1 0 0 1 1 1 0 1 0
 1 0 0 0 1 0 0 1 0 1]",[0 0 0 0 1 0 0 1 1 0 1],[ 0 10  3  8  6  7  4  1  4  1  2],True,False,0.25,0.46875,"[5, 9, 6, 1, 6, 2, 8, 6, 6, 3, 3]","[9, 0, 5, 8, 0, 7, 7, 4, 5, 10, 9]",False,False,0.0,0.0,[0. 0. 2. 7. 2. 6. 3. 7. 4. 1. 9.],[ 0. 10.  0.  9.  6.  7.  3.  1.  4.  6.  8.],False,False,0.0,0.1875,1.0,0.0,0.0,1.0,0.0,0.0,[0. 2. 8. 0. 2. 0. 2. 5. 9. 1. 1.],[0. 9. 3. 0. 5. 7. 0. 5. 7. 6. 2.],False,False,0.03125,0.3125,1.0,0.0,0.0,1.0,0.0,0.0
"[0 0 0 1 1 1 1 0 0 0 1 1 0 1 1 1 0 1 1 1 0 0 0 1 0 1 1 1 1 0 1 1 1 1 1 0 0
 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 0 0 0 0 1
 1 0 1 1 1 1 0 1 1 1 1 1 1 0 0 1 0 0 0 1 1 1 1 0 0 0 1 1 0 0 0 1 0 1 0 1 1
 0 0 0 1 1 0 0 0 1 0]",[1 2 1 0 0 0 0 1 1 2 0],[ 0  4  6  2  0  2  8  1  9 10  4],False,True,0.25,0.46875,"[2, 10, 9, 1, 9, 2, 1, 4, 5, 2, 3]","[4, 0, 10, 5, 8, 8, 4, 8, 5, 7, 6]",False,False,0.0,0.0,[9. 4. 6. 2. 3. 7. 8. 7. 5. 9. 0.],[ 0.  5.  6.  0. 10.  7.  8.  7.  1.  2.  9.],False,False,0.0,0.1875,1.0,0.0,0.0,1.0,0.0,0.0,[0. 9. 2. 1. 0. 8. 0. 6. 1. 2. 5.],[ 0.  4.  9.  2.  3.  2.  5.  8.  9. 10.  0.],False,True,0.03125,0.3125,1.0,0.0,0.0,1.0,0.0,0.0
"[0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 1 1 0 1 1
 1 1 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 1 0
 0 0 0 1 1 1 0 0 0 1 0 1 1 0 0 1 0 1 0 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0
 0 0 1 1 1 0 0 1 0 0]",[0 1 0 4 2 4 1 1 1 0 0],[ 0  9  6 10  2  3  7  5  7  0  0],False,True,0.25,0.46875,"[2, 1, 0, 3, 9, 3, 8, 0, 1, 5, 1]","[6, 3, 8, 1, 3, 2, 3, 6, 0, 3, 0]",False,False,0.0,0.0,[2. 1. 6. 4. 4. 3. 1. 5. 7. 0. 8.],[ 0.  9.  0.  4.  2. 10.  8.  5.  7.  1.  9.],False,False,0.0,0.1875,1.0,0.0,0.0,1.0,0.0,0.0,[ 0.  2.  0.  3. 10. 10.  1.  2.  1.  1.  0.],[0. 2. 6. 4. 2. 3. 2. 1. 1. 0. 2.],False,False,0.03125,0.3125,1.0,0.0,0.0,1.0,0.0,0.0
"[1 0 1 1 0 1 0 0 1 0 0 1 1 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 1 1 1 1 1 0 1 1
 0 1 1 1 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 1 0 1 1 0 1 1 0 1 1 1 0 1 1 1 0 1
 1 0 1 1 0 1 0 1 1 1 1 1 1 1 0 1 0 0 0 0 1 1 1 0 1 1 0 0 0 0 0 1 1 0 0 0 1
 1 0 0 0 0 1 0 1 0 0]",[1 2 0 0 5 0 2 2 0 2 2],[0 6 0 6 6 0 1 9 2 1 2],False,False,0.25,0.46875,"[10, 10, 6, 1, 2, 1, 7, 3, 10, 8, 3]","[5, 6, 3, 5, 2, 1, 9, 4, 1, 3, 8]",False,False,0.0,0.0,[4. 1. 5. 3. 4. 0. 3. 2. 8. 7. 1.],[ 0.  8.  1.  0.  7.  4. 10.  6.  5.  2.  9.],False,False,0.0,0.1875,1.0,0.0,0.0,1.0,0.0,0.0,[ 0.  1.  3.  3.  5.  3. 10.  2.  0.  9.  5.],[0. 6. 0. 6. 5. 4. 8. 6. 0. 7. 8.],False,False,0.03125,0.3125,1.0,0.0,0.0,1.0,0.0,0.0
"[1 0 1 1 0 0 0 1 1 1 0 1 1 1 0 1 0 0 1 1 0 1 1 1 1 0 0 1 0 0 1 1 0 1 0 0 1
 1 0 0 1 1 0 0 0 0 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 1 1 1 0 1 1 1 1 0 1 1 0 0
 0 0 1 0 0 1 1 1 1 1 0 0 1 0 1 1 0 1 0 0 1 1 0 0 1 1 0 0 0 0 0 0 1 1 1 0 1
 1 0 0 0 0 1 1 1 0 0]",[0 2 0 0 1 2 4 0 0 0 1],[ 0 10  1  0  3  2  5  8  9  4  1],True,False,0.25,0.46875,"[5, 5, 2, 10, 10, 3, 5, 10, 4, 3, 3]","[2, 7, 2, 4, 7, 9, 2, 3, 8, 9, 6]",False,False,0.0,0.0,[0. 8. 2. 0. 1. 6. 6. 3. 2. 7. 5.],[ 0.  6.  1.  4.  7.  2. 10.  5.  7.  0.  8.],False,False,0.0,0.1875,1.0,0.0,0.0,1.0,0.0,0.0,[10.  8.  1.  0.  4.  4.  6.  8.  8.  2.  5.],[ 0. 10.  0.  8.  3.  4. 10.  3.  0.  2.  1.],False,False,0.03125,0.3125,1.0,0.0,0.0,1.0,0.0,0.0
